PlayerID=1 | State=INTRODUCTION | Action=BUY_ITEM | Item=None | Input='None' | Intent=BUY_ITEM
PlayerID=1 | State=INTRODUCTION | Action=BUY_ITEM | Item=Healing Potion | Input='None' | Intent=BUY_ITEM
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_ITEM | Item=Healing Potion | Input='None' | Intent=BUY_ITEM
PlayerID=1 | State=INTRODUCTION | Action=None | Item=None | Input='None' | Intent=None
PlayerID=1 | State=INTRODUCTION | Action=SMALL_TALK | Item=None | Input='None' | Intent=None
PlayerID=1 | State=INTRODUCTION | Action=SMALL_TALK | Item=None | Input='None' | Intent=None
PlayerID=1 | State=INTRODUCTION | Action=BUY_ITEM | Item=None | Input='None' | Intent=None
PlayerID=1 | State=INTRODUCTION | Action=BUY_ITEM | Item=None | Input='None' | Intent=None
PlayerID=1 | State=INTRODUCTION | Action=BUY_ITEM | Item=None | Input='None' | Intent=None
PlayerID=1 | State=INTRODUCTION | Action=BUY_ITEM | Item=None | Input='None' | Intent=None
PlayerID=1 | State=INTRODUCTION | Action=BUY_ITEM | Item=(None, None) | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_ACTION | Action=BUY_ITEM | Item=(None, None) | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_ACTION | Action=BUY_ITEM | Item=(None, None) | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_ACTION | Action=BUY_ITEM | Item=('Healing Potion', None) | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_ACTION | Action=BUY_ITEM | Item=Healing Potion | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_ITEM | Item=Healing Potion | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=UNKNOWN | Item=Healing Potion | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=UNKNOWN | Item=None | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_ITEM | Item=None | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_ITEM | Item=('Healing Potion', None) | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=CONFIRM | Item=('Healing Potion', None) | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=CONFIRM | Item=None | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_ITEM | Item=None | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_ITEM | Item=('Healing Potion', None) | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=CONFIRM | Item=('Healing Potion', None) | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=CONFIRM | Item=None | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_ITEM | Item=None | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_ITEM | Item=('Cloak of Billowing', None) | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=CONFIRM | Item=('Cloak of Billowing', None) | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=CONFIRM | Item=None | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_ITEM | Item=None | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_ITEM | Item=('Healing Potion', None) | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_ITEM | Item=('Healing Potion', None) | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_ITEM | Item=('Healing Potion', None) | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_ITEM | Item=('Healing Potion', None) | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_ITEM | Item=('Healing Potion', None) | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_ITEM | Item=('Healing Potion', None) | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_ITEM | Item=('Healing Potion', None) | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_ITEM | Item=('Healing Potion', None) | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_ITEM | Item=('Healing Potion', None) | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=CONFIRM | Item=('Healing Potion', None) | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=CONFIRM | Item=None | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_ITEM | Item=None | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_ITEM | Item=('Healing Potion', None) | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=CONFIRM | Item=('Healing Potion', None) | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=CONFIRM | Item=None | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_ITEM | Item=None | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_ITEM | Item=('Healing Potion', None) | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=HAGGLE | Item=('Healing Potion', None) | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=HAGGLE | Item=None | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=CANCEL | Item=None | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=CANCEL | Item=None | Input='None' | Intent=None
PlayerID=1 | State=INTRODUCTION | Action=None | Item=None | Input='None' | Intent=None
PlayerID=1 | State=INTRODUCTION | Action=BUY_ITEM | Item=None | Input='None' | Intent=None
PlayerID=1 | State=INTRODUCTION | Action=BUY_ITEM | Item=(None, None) | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_ACTION | Action=BUY_ITEM | Item=(None, None) | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_ACTION | Action=UNKNOWN | Item=(None, None) | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_ACTION | Action=UNKNOWN | Item=None | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_ACTION | Action=BUY_ITEM | Item=None | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_ACTION | Action=BUY_ITEM | Item=('Healing Potion', None) | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_ACTION | Action=BUY_ITEM | Item=Healing Potion | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_ITEM | Item=Healing Potion | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_ITEM | Item=Healing Potion | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_ITEM | Item=('Healing Potion', None) | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=CONFIRM | Item=('Healing Potion', None) | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=CONFIRM | Item=None | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_ITEM | Item=None | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_ITEM | Item=('Healing Potion', None) | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_ITEM | Item=('Healing Potion', None) | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_ITEM | Item=('Healing Potion', None) | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=CONFIRM | Item=('Healing Potion', None) | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=CONFIRM | Item=None | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_ITEM | Item=None | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_ITEM | Item=(None, None) | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_ITEM | Item=(None, None) | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_ITEM | Item=(None, None) | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_ITEM | Item=(None, None) | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_ITEM | Item=(None, None) | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_NEEDS_ITEM | Item=(None, None) | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_NEEDS_ITEM | Item=None | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_NEEDS_ITEM | Item=None | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_NEEDS_ITEM | Item=None | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_NEEDS_ITEM | Item=None | Input='None' | Intent=None
PlayerID=1 | State=AWAITING_CONFIRMATION | Action=BUY_NEEDS_ITEM | Item=None | Input='None' | Intent=None
